Geograph,Name,_Section,Height (m),Grid Ref,GridRefXY,xcoord,ycoord
http://www.geograph.org.uk/gridref/NN3572294884,Carn Dearg,9.2,768,NN357948,NN3572294884,235722,794884
http://www.geograph.org.uk/gridref/NN3450488700,Carn Dearg,9.3,834,NN345887,NN3450488700,234504,788700
http://www.geograph.org.uk/gridref/NN2969990046,Beinn Iaruinn,9.3,805,NN296900,NN2969990046,229699,790046
http://www.geograph.org.uk/gridref/NM8465477873,Beinn Odhar Bheag,18.1,882,NM846778,NM8465477873,184654,777873
http://www.geograph.org.uk/gridref/NM7560277838,Rois-Bheinn,18.1,882,NM756778,NM7560277838,175602,777838
http://www.geograph.org.uk/gridref/NM7701677754,Sgurr na Ba Glaise,18.1,874,NM770777,NM7701677754,177016,777754
http://www.geograph.org.uk/gridref/NM7914279179,Druim Fiaclach,18.1,869,NM791791,NM7914279179,179142,779179
http://www.geograph.org.uk/gridref/NM7628579280,An Stac,18.1,814,NM762792,NM7628579280,176285,779280
http://www.geograph.org.uk/gridref/NM8282978819,Beinn Mhic Cedidh,18.1,783,NM828788,NM8282978819,182829,778819
http://www.geograph.org.uk/gridref/NM8895467888,Sgurr Dhomhnuill,18.2,888,NM889678,NM8895467888,188954,767888
http://www.geograph.org.uk/gridref/NM8818868357,Druim Garbh,18.2,803,NM881683,NM8818868357,188188,768357
http://www.geograph.org.uk/gridref/NM9043362214,Garbh Bheinn,18.2,885,NM904622,NM9043362214,190433,762214
http://www.geograph.org.uk/gridref/NM8756075128,Sgurr Ghiubhsachain,18.2,849,NM875751,NM8756075128,187560,775128
http://www.geograph.org.uk/gridref/NM7664265464,Beinn Resipol,18.2,845,NM766654,NM7664265464,176642,765464
http://www.geograph.org.uk/gridref/NM8862869883,Carn na Nathrach,18.2,786,NM886698,NM8862869883,188628,769883
http://www.geograph.org.uk/gridref/NM8955375795,Sgorr Craobh a'Chaorainn,18.2,775,NM895757,NM8955375795,189553,775795
http://www.geograph.org.uk/gridref/NN0168772682,Stob Coire a'Chearcaill,18.2,771,NN016726,NN0168772682,201687,772682
http://www.geograph.org.uk/gridref/NM8746572742,Druim Tarsuinn [Stob a'Bhealach an Sgriodain],18.2,770,NM874727,NM8746572742,187465,772742
